交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2021/3/25,TXO,202103W5,16700,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,16800,買權,0.6,0.8,0.1,0.3,459,0.3,1049,0.2,0.5,3.7,0.1,,一般
2021/3/25,TXO,202103W5,16800,買權,0.8,1.1,0.6,0.7,245,-,-,0.6,1,3.7,0.6,,盤後
2021/3/25,TXO,202103W5,16800,賣權,-,-,-,-,0,750,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,16800,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,16900,買權,0.1,0.2,0.1,0.2,61,0.2,291,-,0.6,0.8,0.1,,一般
2021/3/25,TXO,202103W5,16900,買權,0.4,0.6,0.4,0.4,243,-,-,0.3,0.5,0.8,0.4,,盤後
2021/3/25,TXO,202103W5,16900,賣權,-,-,-,-,0,850,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,16900,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,17000,買權,0.1,0.5,0.1,0.1,52,0.1,180,0.1,0.4,18.5,0.1,,一般
2021/3/25,TXO,202103W5,17000,買權,0.3,0.4,0.1,0.1,15,-,-,-,0.6,18.5,0.1,,盤後
2021/3/25,TXO,202103W5,17000,賣權,-,-,-,-,0,950,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,17000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,17100,買權,-,-,-,-,0,0.1,4,-,-,-,-,,一般
2021/3/25,TXO,202103W5,17100,買權,0.1,0.2,0.1,0.1,3,-,-,-,0.3,0.3,0.1,,盤後
2021/3/25,TXO,202103W5,17100,賣權,-,-,-,-,0,1050,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,17100,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,17200,買權,0.1,0.1,0.1,0.1,60,0.1,0,-,0.5,0.1,0.1,,一般
2021/3/25,TXO,202103W5,17200,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,17200,賣權,-,-,-,-,0,1150,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,17200,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,17300,買權,-,-,-,-,0,0.1,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,17300,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,17300,賣權,-,-,-,-,0,1250,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,17300,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,17400,買權,-,-,-,-,0,0.1,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,17400,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,17400,賣權,-,-,-,-,0,1340,0,-,-,-,-,,一般
2021/3/25,TXO,202103W5,17400,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後
2021/3/25,TXO,202103W5,17500,買權,-,-,-,-,0,0.1,2,-,-,-,-,,一般
2021/3/25,TXO,202103W5,17500,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後
